scenario,state,year,load_TWh,load_normalized
rcp85cooler_ssp3,KY,2080,85.7542973796935,1.047
rcp85cooler_ssp3,KY,2085,84.1012222825751,1.027
rcp85cooler_ssp3,KY,2090,85.0382770952562,1.038
rcp85cooler_ssp3,KY,2095,81.4346315486062,0.994
rcp85cooler_ssp3,KY,2100,81.6074559535923,0.997
rcp85cooler_ssp3,LA,1975,15.930318898139,0.17
rcp85cooler_ssp3,LA,1990,70.6437236252228,0.752
rcp85cooler_ssp3,LA,2005,85.3194919219174,0.909
rcp85cooler_ssp3,LA,2010,93.2073665885285,0.993
rcp85cooler_ssp3,LA,2015,98.7459302779175,1.052
rcp85cooler_ssp3,LA,2020,93.8972313757952,1.0
rcp85cooler_ssp3,LA,2025,93.3006550706702,0.994
rcp85cooler_ssp3,LA,2030,94.9919457650063,1.012
rcp85cooler_ssp3,LA,2035,94.8031559544116,1.01
rcp85cooler_ssp3,LA,2040,95.616509576783,1.018
rcp85cooler_ssp3,LA,2045,94.2395463348977,1.004
rcp85cooler_ssp3,LA,2050,95.8933579304074,1.021
rcp85cooler_ssp3,LA,2055,95.4806290810505,1.017
rcp85cooler_ssp3,LA,2060,100.955051885377,1.075
rcp85cooler_ssp3,LA,2065,104.869917572266,1.117
rcp85cooler_ssp3,LA,2070,105.870108189275,1.128
rcp85cooler_ssp3,LA,2075,105.666180404773,1.125
rcp85cooler_ssp3,LA,2080,105.496768682088,1.124
rcp85cooler_ssp3,LA,2085,103.271296830023,1.1
rcp85cooler_ssp3,LA,2090,103.037370425493,1.097
rcp85cooler_ssp3,LA,2095,99.9346441734786,1.064
rcp85cooler_ssp3,LA,2100,98.2619285174541,1.046
rcp85cooler_ssp3,MA,1975,8.17249712694451,0.132
rcp85cooler_ssp3,MA,1990,50.3322252302782,0.812
rcp85cooler_ssp3,MA,2005,63.6596113475005,1.026
rcp85cooler_ssp3,MA,2010,62.5034394319449,1.008
rcp85cooler_ssp3,MA,2015,59.8126004816672,0.964
rcp85cooler_ssp3,MA,2020,62.0207129050922,1.0
rcp85cooler_ssp3,MA,2025,61.7787190674547,0.996
rcp85cooler_ssp3,MA,2030,63.9153664811947,1.031
rcp85cooler_ssp3,MA,2035,65.6869636236533,1.059
rcp85cooler_ssp3,MA,2040,67.3410160839494,1.086
rcp85cooler_ssp3,MA,2045,72.1787939984628,1.164
rcp85cooler_ssp3,MA,2050,74.6706869636534,1.204
rcp85cooler_ssp3,MA,2055,79.3072237059134,1.279
rcp85cooler_ssp3,MA,2060,84.5884990861299,1.364
rcp85cooler_ssp3,MA,2065,87.4393286588243,1.41
rcp85cooler_ssp3,MA,2070,90.4477193387588,1.458
rcp85cooler_ssp3,MA,2075,93.700118873753,1.511
rcp85cooler_ssp3,MA,2080,94.0171521865291,1.516
rcp85cooler_ssp3,MA,2085,96.6997055674135,1.559
rcp85cooler_ssp3,MA,2090,95.010427157241,1.532
rcp85cooler_ssp3,MA,2095,95.2601703879577,1.536
rcp85cooler_ssp3,MA,2100,94.3817741340905,1.522
rcp85cooler_ssp3,MD,1975,9.97733130555564,0.139
rcp85cooler_ssp3,MD,1990,54.8383654265838,0.762
rcp85cooler_ssp3,MD,2005,75.4001904016673,1.047
rcp85cooler_ssp3,MD,2010,72.3783119382506,1.005
rcp85cooler_ssp3,MD,2015,68.2140731399172,0.948
rcp85cooler_ssp3,MD,2020,71.9923472223208,1.0
rcp85cooler_ssp3,MD,2025,70.6556141763228,0.981
rcp85cooler_ssp3,MD,2030,69.5130736061331,0.966
rcp85cooler_ssp3,MD,2035,71.9030009445159,0.999
rcp85cooler_ssp3,MD,2040,70.8004476706125,0.983
rcp85cooler_ssp3,MD,2045,72.7023094109859,1.01
rcp85cooler_ssp3,MD,2050,75.0715459776603,1.043
